Time,P (deg/s),Q (deg/s),R (deg/s),P dot (deg/s^2),Q dot (deg/s^2),R dot (deg/s^2),P_{inertial} (deg/s),Q_{inertial} (deg/s),R_{inertial} (deg/s),q bar (psf),Reynolds Number,V_{Total} (ft/s),V_{Inertial} (ft/s),UBody,VBody,WBody,UdotBody,VdotBody,WdotBody,UdotBody_i,VdotBody_i,WdotBody_i,BodyAccel_X,BodyAccel_Y,BodyAccel_Z,Aero V_{X Body} (ft/s),Aero V_{Y Body} (ft/s),Aero V_{Z Body} (ft/s),V_{X_{inertial}} (ft/s),V_{Y_{inertial}} (ft/s),V_{Z_{inertial}} (ft/s),V_{X_{ecef}} (ft/s),V_{Y_{ecef}} (ft/s),V_{Z_{ecef}} (ft/s),V_{North} (ft/s),V_{East} (ft/s),V_{Down} (ft/s),I_{xx},I_{xy},I_{xz},I_{yx},I_{yy},I_{yz},I_{zx},I_{zy},I_{zz},Mass,Weight,X_{cg},Y_{cg},Z_{cg},Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),navigation/actual-heading-rad,systems/mixture-cmd-norm,guidance/wp-heading-rad,guidance/wp-distance,guidance/wp-heading-deg,guidance/selected_target_heading,guidance/angle-to-heading-rad,ap/roll-control-autopilot-on,ap/roll-autopilot-windup-trigger,ap/limited-roll-angle-rad,ap/roll-attitude-selector,ap/limited-roll-angle-error,ap/roll-rate-pid-control,ap/total-limited-roll-rate,ap/roll-rate-saturation,ap/limited-roll-rate-error,ap/roll-command-pid-control,ap/roll-cmd-smoother,ap/roll-cmd-norm-output,ap/roll-command-selector-steering,fcs/attitude/sensor/phi-rad,fcs/wing-leveler-ap-on-off,fcs/roll-ap-error-pid,fcs/roll-ap-autoswitch,fcs/heading-true-degrees,fcs/heading-error,fcs/heading-error-bias-switch,fcs/heading-corrected,fcs/heading-command,fcs/heading-roll-error-lag,fcs/heading-roll-error,fcs/heading-roll-error-switch,fcs/heading-pi-controller,fcs/roll-command-selector,fcs/altitude-error,fcs/alt-error-lag,fcs/hdot-command,fcs/hdot-error,fcs/ap-alt-hold-switch,fcs/windup-trigger,fcs/altitude-hold-pid,fcs/elevator,fcs/pitch-trim-sum,fcs/elevator-control,fcs/elevator-actuator,fcs/roll-trim-sum,fcs/left-aileron-control,fcs/left-aileron-actuator,fcs/right-aileron-control,fcs/right-aileron-actuator,fcs/effective-aileron-pos,fcs/yaw-trim-sum,fcs/rudder-control,fcs/flaps-control,fcs/flap-position-normalizer,IO320 Power Available (engine 0 in ft-lbs/sec),IO320 HP (engine 0),IO320 equivalent ratio (engine 0),IO320 MAP (engine 0 in inHg),Fixed-Pitch 75-inch Two-Blade Propeller Torque (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Pitch (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Yaw (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller Thrust (engine 0 in lbs),Fixed-Pitch 75-inch Two-Blade Propeller RPM (engine 0),Fuel Tank 0,Fuel Tank 1,/fdm/jsbsim/position/vrp-gc-latitude_deg,/fdm/jsbsim/position/vrp-longitude_deg,/fdm/jsbsim/position/vrp-radius-ft,velocities/pi-deg_sec
0,0,0,0,24.78049573299169,6.71557669957911,-2.873921246187016e-06,0.003627054262170481,0,-0.002073832402526141,0,0,0,1325.77196733,0,0,0,-0.5045846276534174,-5.607049852181696e-07,-1.203814143459188,-0.1079000836066421,-1.193964296526478,0.1594880636097228,-0.5046911305956828,-5.607049838893714e-07,-33.33336877373907,0,0,0,1320.391190653657,-119.3248214477856,0,0,0,0,0,0,0, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,4.3050179705024,4.3050000006514,-1.192708005548819e-15,-7.951386703658792e-15,7.951386703658792e-16,1,-1.040834085586084e-17,-6.938893903907228e-17,6.938893903907228e-18,-0.3384928366023935,0.6385607551370861,0.5834557258208176,0.3704621135480964,-0.3384928366023935,0.6385607551370861,0.5834557258208176,0.3704621135480964,0,0,29.593978,29.75952602518,-95.163839,-1636354.08174152,-18107108.71473717,10325659.96215431,-1636354.08174152,-18107108.71473717,10325659.96215431,0,4.3050000006514,0,0.003,0.999479828,1.5236864,34494357.8,87.3072309,3.49,-2.79618531,0,1,-0.523,0,2.08166817e-17,6.24500451e-16,0.348,0,6.24500451e-16,1.56125113e-15,4.59191508e-16,0,0,0,-1,-1.04083409e-15,0,7.95197241e-16,-7.95197241e-16,0,-7.95197241e-16,-1.38761919e-17,-2.88486317e-20,2.07878331e-17,0,0,0,-4.305,-0.0178630705,-0.00214279946,-0.00214279946,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9213,0,-0,-0,0,0,130,130,29.5939786618732334,-95.1638401102004394,20908474.4785842486,0.00362705426217048129
0.1,1.184246805520148,0.2125841875491527,4.528418699152043e-05,8.081142755229365,1.523925296734492,0.0002662517412304563,1.187874337931451,0.2125819684559772,-0.002027710539260464,9.871011697e-06,2840.096839,0.0911416037873,1325.86110756,-0.01599222276859926,0.08912893287117528,-0.01034766046435718,-0.1126368063738275,0.5921151015725501,0.2180981522259448,0.610603270341619,0.1781159982277842,-0.2072978614006906,-0.1053659415022575,0.5579450583703237,-31.90952441585766,-0.01599222276859926,0.08912893287117528,-0.01034766046435718,1320.479323951201,-119.339982695835,-0.008798179518460627,0.08726285856846598,-0.0247906734991496,-0.00879817951846063,-0.0159945985924821,0.08913995416992103,-0.01024857684609658, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,4.3064981289208,4.3064801526038,0.06132031857354059,0.01321295172561665,7.699840285510817e-06,0.9999998501753158,0.0005351206918960198,0.0001153047749518226,5.491810514898674e-09,-0.3389017702907772,0.638336812010183,0.5836148470769936,0.3702234660279533,-0.3389031201445696,0.6383346841126498,0.5836171744858354,0.3702222303701511,-147.09538435179,77.93664399134,29.593977997143,29.759526022302,-95.163838984666,-1636222.037895279,-18107120.64897301,10325659.96198027,-1636354.077057866,-18107108.71697232,10325659.96198027,0.00041780741322404,4.3064801526038,-6.5251255625343e-09,0.00300013439,0.999479774,1.5236864,34494357.8,87.3072309,3.49,-2.79618544,0,1,-0.523,0,-0.00107024146,-0.0340547591,0.348,0,-0.0535299168,-0.133824792,-0.115312191,0,0,0,-1,0.38458969,0,7.70040747e-06,-7.70040747e-06,0,-7.70040747e-06,-1.3437211e-07,-1.84319712e-06,-0.00107208465,0,0,0,-4.30648015,-0.425910015,-0.05109086,-0.0613394368,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9208,0,0,-0,0,0,130,130,29.5939786588579175,-95.1638400940017135,20908474.480499994,1.1878743379314507
0.2,1.604087258282545,0.3926572804159709,-0.0002167801326300783,-0.1969140516859294,1.721577184761779,-0.006669420259822596,1.607715850680624,0.3926498376462478,-0.002287906702465742,1.838743538e-05,3876.259962,0.124393134746,1325.89232709,-0.02950734505712332,0.1203972186503655,0.01036717420499082,-0.131058472418415,0.01034781548149068,0.149096975496547,0.02426417835274751,0.1628611798126537,-0.1894585527690987,-0.1072392050020713,-0.105326224752772,-31.97665351937313,-0.02950734505712332,0.1203972186503655,0.01036717420499082,1320.512329644718,-119.3216213561002,-0.03098028962356932,0.1193983258169056,-0.01605968302988896,-0.03098028962356932,-0.02949948186637061,0.1203591721073053,0.01082137843901635, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,4.3064079284668,4.3063899527949,0.2057630097790987,0.0425231658094431,7.615615736955167e-05,0.9999983190214797,0.001795619664555998,0.0003710852124680767,-1.740244808853458e-09,-0.3398553912067279,0.6378144030250399,0.5839943457764971,0.369650787179758,-0.339858086733742,0.6378101444541533,0.5839989967769457,0.369648308905334,160.64147483169,75.438131903377,29.593977990948,29.759526016086,-95.163838950073,-1636089.987807442,-18107132.58203822,10325659.95997295,-1636354.066219651,-18107108.71899984,10325659.95997295,0.00083561482644808,4.3063899527949,-3.2625627812702e-09,0.00300132918,0.999479777,1.5236864,34494357.8,87.3072309,3.49,-2.79618664,0,1,-0.523,0,-0.003591242,-0.110530299,0.348,0,-0.138460685,-0.346151713,-0.324554919,0,0,0,-1,0.654378788,0,7.61617671e-05,-7.61617671e-05,0,-7.61617671e-05,-1.32902284e-06,-1.78260096e-06,-0.0035930246,0,0,0,-4.30638995,-0.795209701,-0.0953909191,-0.0845695407,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9203,0,0,-0,0,0,130,130,29.5939786523098967,-95.1638400573674801,20908474.4814264178,1.60771585068062417
0.3,1.38839890591691,0.5146992158364546,-0.001086209192965822,-5.738148485988797,0.5260011779653573,-0.01272138055130887,1.392029155245321,0.5146862094678627,-0.003154402632286032,1.522818567e-05,3527.576198,0.113203513031,1325.87692852,-0.03865703344434653,0.105067880793574,0.01677526612105974,-0.04439455585583089,-0.5086574132425383,-0.02257187369947662,-0.5019231138411199,0.1004881672783653,-0.02711508057551825,0.005226719400768347,-0.7108687888602507,-32.14854807343681,-0.03865703344434653,0.105067880793574,0.01677526612105974,1320.49797683369,-119.309349949384,-0.04221938410754824,0.1041753973072366,-0.01341810582985148,-0.04221938410754825,-0.03863054544429234,0.1049602747608897,0.01749448608554631,  2095.73487,-10.78165491, 13.55483338,-10.78165491, 1505.011877, 3.979907676, 13.55483338, 3.979907676, 3150.439293,77.08075527,2479.999997,45.48951612612142,4.227419359740296,35.42701610123618,4.3048609122634,4.3048429413442,0.359878548362528,0.08839246171686053,0.0002486228354187047,0.9999947710296987,0.003140525017709112,0.0007713726787914924,-2.528755630816715e-07,-0.3409464511578596,0.6372084585056638,0.5843551782581513,0.369120472873805,-0.3409504886408691,0.6372020666898039,0.5843621481192315,0.3691167435206275,156.54150929932,68.145581180172,29.59397798139,29.759526006508,-95.163838913878,-1635957.937066739,-18107144.51353096,10325659.95618131,-1636354.054815587,-18107108.72041792,10325659.95618131,0.0012534222396721,4.3048429413442,0,0.00300433929,0.999479833,1.5236864,34494357.8,87.3072309,3.49,-2.79618965,1,0,-0.523,-0.523,-0.529281066,-0.174,0.348,0,-0.19920843,-0.498021076,-0.499249236,-0.499249236,-0.499249236,0,-1,0.742597463,0,0.000248641149,-0.000248641149,0,-0.000248641149,-4.33878806e-06,-1.82701748e-06,-0.00628289259,0,0,0,-4.30484294,-1.12927482,-0.135464365,-0.117969879,0,0,0,-0,0,0,0.002,-0.499249236,-0.174237983,-0.0785,0.130678488,0.0785,-0.157,0,0,0,0,124.454,0.22628,1.29953,29.8765,62.8659,0.00457904,-0.00284047,0.0262801,21.899,130,130,29.5939786421955446,-95.1638400189842883,20908474.4810267799,1.39202915524532078
0.4,0.5730196432008556,0.4961317803563597,-0.002613568361279516,-9.560986224364653,-0.976032645263186,-0.01604794046597637,0.5766517640347687,0.4961150160040004,-0.004678446241165006,3.905636639e-06,1786.480357,0.0573299723476,1325.81497771,-0.03724554790909362,0.04306552830339551,0.006697399665146259,0.06929834836462723,-0.7158599913721329,-0.1592520245316964,-0.7127836755009046,0.0524834445570794,0.1415007103084864,0.1479188990600409,-0.9763229538683753,-32.28689672093191,-0.03724554790909362,0.04306552830339551,0.006697399665146259,1320.436401090679,-119.302407777609,-0.03586140501607547,0.04172948865022293,-0.01610388576206878,-0.03586140501607548,-0.0372285238248021,0.04300954000466652,0.007137381297575539,  2095.73478,-10.78165484, 13.55483379,-10.78165484, 1505.011871, 3.979908366, 13.55483379, 3.979908366, 3150.439206,77.08075431,2479.999966,45.48951609473514,4.227419412591847,35.42701580152394,4.3035103455186,4.3034923812816,0.4643699980527187,0.1402795485433491,0.0004516750248631577,0.9999910397898516,0.004052373753814182,0.001224175613195874,-1.0192299048051e-06,-0.3417913656679805,0.636729227993879,0.5845380255703707,0.3688764688014516,-0.3417967454108935,0.6367207028891545,0.5845473117137137,0.368871483998333,169.80615737534,48.693301890299,29.593977970724,29.759525995815,-95.163838889931,-1635825.890143513,-18107156.44408132,10325659.95213511,-1636354.047316012,-18107108.7218565,10325659.95213511,0.0016712296528962,4.3034923812816,-3.2625627812802e-09,0.00300788322,0.999479882,1.5236864,34494357.8,87.307231,3.49,-2.79619319,1,0,-0.523,-0.523,-0.531104785,-0.174,0.348,0,-0.185381851,-0.463454629,-0.467477872,-0.467477872,-0.467477872,0,-1,0.598731814,0,0.000451708296,-0.000451708296,0,-0.000451708296,-7.88230976e-06,-2.04142841e-06,-0.00810682684,0,0,0,-4.30349239,-1.43139808,-0.17170617,-0.164568788,0,0,0,-0,0,0,0.002,-0.467477872,-0.163149777,-0.163149777,0.122362333,0.122362333,-0.28551211,0,0,0,0,344.077,0.625595,1.29953,29.6497,60.6108,0.00529798,-0.0085107,0.2161,57.0887,130,130,29.5939786308923551,-95.1638399935488195,20908474.4805448502,0.576651764034768699
0.5,-0.3572879098673751,0.3600860707347453,-0.004148787594991806,-8.150698843722513,-1.373792161426507,-0.01520205298500171,-0.3536542097822739,0.3600688346226203,-0.006210881206462955,1.827157464e-06,1221.913083,0.0392124342454,1325.74521172,-0.02703181877373616,-0.02683477376625959,-0.009316152110410723,0.1051615133856771,-0.6228539761163738,-0.1065766757435596,-0.6148300132756888,0.1073864311409468,0.1464114357841343,0.2082454168920212,-0.8909742648182479,-32.23451362773591,-0.02703181877373616,-0.02683477376625959,-0.009316152110410723,1320.366946458961,-119.2958203372192,-0.01880105875876121,-0.02859531789026031,-0.01914270053444201,-0.01880105875876121,-0.02706210988192293,-0.02675634079104801,-0.009452800413570016, 2095.734603, -10.7816547, 13.55483459, -10.7816547, 1505.011859, 3.979909712, 13.55483459, 3.979909712, 3150.439036,77.08075241,2479.999905,45.48951603297164,4.22741951659578,35.42701521173512,4.3036730997264,4.3036551337625,0.478045254911489,0.1841283296282407,0.0004850982269328224,0.9999900074305382,0.004171707547987172,0.001606825785670522,-2.469973171651198e-06,-0.3420899401410889,0.6365455712581466,0.5844530339158597,0.3690512968578395,-0.3420966679954868,0.6365349164055328,0.5844646382275104,0.3690450603985543,-160.98417815718,-43.183997534131,29.593977961822,29.759525986882,-95.16383888761,-1635693.85005716,-18107168.37404345,10325659.94939549,-1636354.04674033,-18107108.72366957,10325659.94939549,0.0020890370661202,4.3036551337625,-3.2625627812846e-09,0.00300846656,0.999479876,1.5236864,34494357.8,87.307231,3.49,-2.79619377,1,0,-0.523,-0.523,-0.531343464,-0.174,0.348,0,-0.168992936,-0.422482341,-0.426352906,-0.426352906,-0.426352906,0,-1,0.332052245,0,0.00048513396,-0.00048513396,0,-0.00048513396,-8.4655876e-06,-2.35876297e-06,-0.00834582243,0,0,0,-4.30365514,-1.70470975,-0.204491805,-0.213944606,0,0,0,-0,0,0,0.002,-0.426352906,-0.148797164,-0.148797164,0.111597873,0.111597873,-0.260395037,0,0,0,0,539.164,0.980299,1.29953,29.4236,58.4384,-0.00549945,-0.0122531,0.570804,90.8639,130,130,29.5939786214482368,-95.1638399910325035,20908474.4809849076,-0.353654209782273798
0.6,-0.9643854216050941,0.2612199170117688,-0.005487408511169951,-3.261068898383512,-0.5656876118605507,-0.00837506312918251,-0.9607506138288293,0.2612051420181433,-0.007547568112672785,6.959849321e-06,2384.801521,0.0765307099796,1325.69965045,-0.01959009339285393,-0.07242752410893435,-0.01508083427059973,0.04485661867757635,-0.2623320065256335,-0.01969471936879061,-0.2522813178987621,0.1243160167397763,0.04895281817454107,0.1651884865897675,-0.4927558109029785,-32.14690001867819,-0.01959009339285393,-0.07242752410893435,-0.01508083427059973,1320.322296622154,-119.2836792975947,-0.009350523910612769,-0.07411505971270338,-0.0166275433052442,-0.009350523910612762,-0.01964815843119482,-0.07231771052430576,-0.01552572654575901, 2095.734342,-10.78165449, 13.55483576,-10.78165449, 1505.011841, 3.979911679, 13.55483576, 3.979911679, 3150.438787,77.08074963,2479.999816,45.48951594243055,4.227419669058474,35.42701434714484,4.3049965500832,4.3049785754924,0.4104716423551124,0.2149192979417021,0.0002462581128339077,0.9999918257261331,0.003582022831821616,0.001875519253397408,-4.569197816370462e-06,-0.3418699991414961,0.6366455709123739,0.5841460285223536,0.3695683131522675,-0.3418780838636099,0.6366327917799834,0.5841599558607259,0.3695608341977887,-142.4102249033,-71.153092381725,29.593977955574,29.759525980602,-95.163838904178,-1635561.815900765,-18107180.30302999,10325659.94806979,-1636354.052181609,-18107108.72546964,10325659.94806979,0.0025068444793442,4.3049785754924,-3.2625627812877e-09,0.00300429801,0.999479828,1.5236864,34494357.8,87.307231,3.49,-2.79618961,1,0,-0.523,-0.523,-0.530164082,-0.174,0.348,0,-0.157710438,-0.394276094,-0.396240559,-0.396240559,-0.396240559,0,-1,0.0812777165,0,0.000246276253,-0.000246276253,0,-0.000246276253,-4.29752061e-06,-2.57212229e-06,-0.00716665377,0,0,0,-4.30497858,-1.95209279,-0.234167097,-0.249692823,0,0,0,-0,0,0,0.002,-0.396240559,-0.138287955,-0.138287955,0.103715966,0.103715966,-0.242003921,0,0,0,0,712.635,1.2957,1.29953,29.297,56.4366,-0.0200323,-0.0134485,1.06919,123.224,130,130,29.5939786148157076,-95.1638400085652307,20908474.482031215,-0.960750613828829314
0.7,-1.035731979201772,0.2261785250715353,-0.005531879595980931,2.138241269379604,-0.1941512088368187,0.0100164902500872,-1.032096301792968,0.2261675327283415,-0.007590527793707738,7.790534315e-06,2523.108563,0.0809691268525,1325.69425044,-0.01694439139520739,-0.0777976294639683,-0.01471108266877787,0.01511469651118682,0.1450050513344434,0.02032969350469052,0.1551685130005134,0.1102151722505378,0.001971751801935722,0.1490233801893488,-0.02697654566367083,-32.10702333413276,-0.01694439139520739,-0.0777976294639683,-0.01471108266877787,1320.317942882908,-119.2718545494569,-0.007291450072889044,-0.07933859436220421,-0.0144298892483169,-0.007291450072889051,-0.01700759937282005,-0.07771784265374111,-0.01505582943834365, 2095.734002,-10.78165423, 13.55483728,-10.78165423, 1505.011817, 3.979914243, 13.55483728, 3.979914243, 3150.438461,77.080746,2479.999699,45.48951582423184,4.227419868094031,35.42701321844769,4.3065610826015,4.306543106864,0.3062285137743489,0.2391133213998881,359.9998323983776,0.9999942522102817,0.002672341967741013,0.002086644498209813,-7.038855456412315e-06,-0.3414122012538954,0.6368753860959214,0.5837405544641773,0.3702356229403053,-0.3414216504452862,0.6368604874271084,0.5837568088639994,0.3702269091601029,-139.03555782718,-73.910670214119,29.593977950631,29.75952597563,-95.163838928898,-1635429.784231381,-18107192.23079444,10325659.94727654,-1636354.060196883,-18107108.72701025,10325659.94727654,0.0029246518925683,4.306543106864,0,6.28618238,0.999479772,1.5236864,34494357.8,87.3072309,3.49,-2.79618238,1,0,-0.523,-0.523,-0.528344696,-0.174,0.348,0,-0.155670703,-0.389176756,-0.388734026,-0.388734026,-0.388734026,0,-1,-0.0443685953,0,360.02635,-360.02635,360,-0.0263504874,-0.000459816006,-1.10789121e-05,-0.00535577474,0,0,0,-4.30654312,-2.17607681,-0.261035503,-0.276091333,0,0,0,-0,0,0,0.002,-0.388734026,-0.135668175,-0.135668175,0.101751131,0.101751131,-0.237419306,0,0,0,0,867.543,1.57735,1.29953,29.2878,54.6192,-0.0270259,-0.0148086,1.69173,154.206,130,130,29.5939786095685307,-95.1638400347716953,20908474.4830646105,-1.0320963017929683
0.8,-0.6400060261578175,0.2066387080596841,-0.003701044327635402,5.599287195355632,-0.2427104381181826,0.02658520963464835,-0.6363695671210636,0.2066309220978492,-0.005758326152593904,3.206397168e-06,1618.679877,0.0519450896808,1325.72391299,-0.01547881860952967,-0.04810165000782058,-0.01203867862026333,0.01772619726924967,0.4132866207122011,0.02954558528715741,0.4233245300973583,0.0952858031486431,-0.0002224044981905347,0.1638588323630101,0.2910145861231699,-32.09885729969375,-0.01547881860952967,-0.04810165000782058,-0.01203867862026333,1320.348647504213,-119.26165540794,-0.00745477856350481,-0.04950375097337877,-0.01385991551483567,-0.007454778563504814,-0.01553476709117628,-0.0480553868512881,-0.01215084967973544, 2095.733585, -10.7816539, 13.55483915, -10.7816539, 1505.011789, 3.979917387, 13.55483915, 3.979917387, 3150.438062,77.08074155,2479.999556,45.48951567919899,4.227420112315748,35.42701183350742,4.3079284355044,4.3079104495083,0.217813927223227,0.2608743823847002,359.9994474785447,0.9999956021226744,0.001900789999914147,0.002276543209385028,-9.148880115267652e-06,-0.3410299911453232,0.6370658316175752,0.583392579203602,0.3708082656238897,-0.3410408069063112,0.6370488146834594,0.5834111611846512,0.3707983181464938,-142.12594471644,-67.821084781235,29.593977946176,29.759525971148,-95.163838949425,-1635297.751126418,-18107204.15745715,10325659.9465403,-1636354.066863557,-18107108.72841194,10325659.9465403,0.0033424593057923,4.3079104495083,-3.2625627812924e-09,6.28617566,0.999479723,1.5236864,34494357.8,87.3072309,3.49,-2.79617566,1,0,-0.523,-0.523,-0.52680157,-0.174,0.348,0,-0.162040908,-0.40510227,-0.40289342,-0.40289342,-0.40289342,0,-1,-0.0132302129,0,360.025966,-360.025966,360,-0.0259655392,-0.00045309866,-3.2789435e-05,-0.00383435962,0,0,0,-4.30791047,-2.37888706,-0.285363966,-0.297514816,0,0,0,-0,0,0,0.002,-0.40289342,-0.140609804,-0.140609804,0.105457353,0.105457353,-0.246067156,0,0,0,0,1005.62,1.82839,1.29953,29.3357,52.9309,-0.0199987,-0.0164152,2.4204,183.842,130,130,29.593978604840089,-95.163840056556694,20908474.4839862846,-0.636369567121063628
0.9,-0.03739287785999754,0.1763396092399489,-0.0007415524994871269,5.92346659113655,-0.3445889903065082,0.03023845506722463,-0.03375572332323284,0.1763331587686235,-0.002797609094429985,3.16327901e-07,508.4181605,0.0163156582056,1325.7691384,-0.01321554268146058,-0.002859074329448849,-0.009131036540015085,0.02553463651297601,0.4477573443255266,0.03450757859715307,0.45846773235226,0.09970975338302282,0.00451065813075296,0.1825539095596946,0.3462382156181251,-32.09446066860683,-0.01321554268146058,-0.002859074329448849,-0.009131036540015085,1320.394900978346,-119.2523113723157,-0.007006721235518752,-0.004120032249469375,-0.01414679802898781,-0.007006721235518747,-0.01326012666449504,-0.002830041851234404,-0.009075274466577844, 2095.733094,-10.78165351, 13.55484135,-10.78165351, 1505.011755, 3.979921089, 13.55484135, 3.979921089, 3150.437592,77.0807363,2479.999387,45.48951550831643,4.22742040006595,35.42701020172445,4.3089878186584,4.3089698332139,0.1810322582665179,0.2802498719977866,359.9992751662929,0.9999957614887746,0.001579814567379864,0.002445626014615465,-1.018897048351895e-05,-0.3409233497858991,0.6371113356755332,0.5832171937350621,0.3711039213701443,-0.3409355271984671,0.6370921973417081,0.5832380999221305,0.3710927339351177,-145.35817809607,-10.092333812105,29.593977942218,29.759525967169,-95.163838957537,-1635165.713979048,-18107216.08315482,10325659.9458098,-1636354.0695748,-18107108.7298116,10325659.9458098,0.0037602667190164,4.3089698332139,-6.5251255625888e-09,6.28617266,0.999479684,1.5236864,34494357.8,87.3072309,3.49,-2.79617266,1,0,-0.523,-0.523,-0.526159609,-0.174,0.348,0,-0.172467998,-0.431169995,-0.428492176,-0.428492176,-0.428492176,0,-1,0.131935791,0,360.025793,-360.025793,360,-0.0257932143,-0.000450091589,-5.31949604e-05,-0.00321280392,0,0,0,-4.30896984,-2.56251258,-0.307391091,-0.316466366,0,0,0,-0,0,0,0.002,-0.428492176,-0.14954377,-0.14954377,0.112157827,0.112157827,-0.261701597,0,0,0,0,1127.63,2.05024,1.29953,29.3809,51.3181,-0.00141524,-0.0173339,3.23769,212.137,130,130,29.5939786006420356,-95.1638400651921899,20908474.4849056713,-0.0337557233232328377
